"ip","port","protocol","is_llm","deploy_tool","deploy_version","model_info","evidence","link","scan_time"
"14.22.78.34","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"14.22.83.227","7000","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"14.22.83.227","9096","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"121.229.160.117","3306","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"14.22.85.111","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"221.229.4.160","30006","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"221.229.4.160","30007","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"221.229.4.124","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"14.22.78.43","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"14.22.81.215","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"117.88.69.86","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"14.22.77.203","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"117.89.29.218","5003","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"117.89.29.218","5432","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"117.89.29.218","5433","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"117.89.29.218","6379","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"117.89.29.218","6380","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"117.89.29.218","9300","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"14.22.83.126","3306","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"14.22.83.81","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"121.225.97.127","3306","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.183.139","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.183.139","8018","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.184.121","9091","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.184.121","9998","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"221.229.103.135","6379","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.190.179","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"113.249.101.6","2222","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"121.229.168.40","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.182.123","3001","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.182.123","3004","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.183.4","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"113.249.101.178","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"117.89.254.57","3306","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"203.83.238.186","80","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"203.83.228.222","9401","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.191.64","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"203.83.239.102","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.178.45","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"219.151.185.55","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
"203.83.238.96","3389","","否","","","","Phase0: no HTTP response (http/https both failed)","","2026-05-21 15:38:08"
